index,Year,Months,Element,Unit,Value
7931,1991,Annual value,KG,USD,0.16
7932,1992,Annual value,KG,USD,0.16
7933,1993,Annual value,KG,USD,0.15
7934,1994,Annual value,KG,USD,0.18
7935,1995,Annual value,KG,USD,0.21
7936,1996,Annual value,KG,USD,0.21
7937,1997,Annual value,KG,USD,0.19
7938,1998,Annual value,KG,USD,0.09
7939,1999,Annual value,KG,USD,0.15
7940,2000,Annual value,KG,USD,0.13
7941,2001,Annual value,KG,USD,0.11
7942,2002,Annual value,KG,USD,0.13
7943,2003,Annual value,KG,USD,0.14
7944,2004,Annual value,KG,USD,0.18
7945,2005,Annual value,KG,USD,0.21
7946,2006,Annual value,KG,USD,0.23
7947,2007,Annual value,KG,USD,0.28
7948,2008,Annual value,KG,USD,0.28
7949,2009,Annual value,KG,USD,0.21
7950,2010,Annual value,KG,USD,0.3
7951,2011,Annual value,KG,USD,0.88
7952,2012,Annual value,KG,USD,0.88
7953,2013,Annual value,KG,USD,0.74
7954,2014,Annual value,KG,USD,0.7
7955,2015,Annual value,KG,USD,0.69
7956,2016,Annual value,KG,USD,0.7
7957,2017,Annual value,KG,USD,0.38
7958,2018,Annual value,KG,USD,0.36
7959,2019,Annual value,KG,USD,0.37
7960,2020,Annual value,KG,USD,0.38
7961,2021,Annual value,KG,USD,0.35
